RFA(Sample Set ID)/Tag_id|End Date|Parameter Code|Greater Than/Less Than|Value|MDL|LOQ|Data Qualifier|Verify Flag
L109029|04/10/2013|31699||350||||
L109872|08/06/2013|31699||99||||
L100074|08/12/2010|31699||39||||
L104093|10/03/2011|31699||88||||
TX04116|06/04/2013|31648||63||||
L073713|08/11/2003|31699||16||||
L077770|08/16/2004|31699||80||||
L076117|12/10/2003|31699||68||||
L085375|10/02/2006|31699||86||||
L094005|04/01/2009|31699||21||||
L093438|02/02/2009|31699||12||||
L105974|04/12/2012|31699||89||||
L100610|10/12/2010|31699||86||||
L101661|02/03/2011|31699||26||||
L068568|04/18/2002|31699||31||||
L074391|10/14/2003|31699||390||||
L076231|04/07/2004|31699||7300||||
L089382|08/09/2007|31699||12||||
L114330|04/06/2015|31699||78||||
L108477|02/07/2013|31699||78||||
TX06160|02/06/2015|31648||31||||
L064126|08/06/2001|31616||11||||
L070810|10/10/2002|31699||68||||
L086032|02/05/2007|31699||3||||
L089574|04/07/2008|31699||3||||
TX02484|02/18/2013|31648||24||||
L113903|02/04/2015|31699||70||||
L098216|04/01/2010|31699||38||||
L102253|04/04/2011|31699||93||||
TX02241|09/27/2012|31648||2||||
L064229|10/11/2001|31699||43||||
L081609|10/03/2005|31699||59||||
L078491|12/02/2004|31699||73||||
L086535|04/02/2007|31699||69||||
L106688|08/01/2012|31699||75||||
L112687|08/18/2014|31699||140||||
TX02357|12/05/2012|31648||14||||
TX04280|12/04/2013|31648||38||||
L064126|08/06/2001|31648||8||||
L067119|12/06/2001|31699||87||||
L081350|08/11/2005|31699||50||||
L083562|04/05/2006|31699||3.1||||
L113132|10/13/2014|31699||440||||
L107245|10/01/2012|31699||55||||
L110185|10/01/2013|31699||72||||
L111038|02/06/2014|31699||29||||
L111520|04/10/2014|31699||48||||
L096616|10/05/2009|31699||120||||
L078286|10/12/2004|31699||84||||
L085373|08/10/2006|31699||27||||
L085374|08/28/2006|31699||18||||
L091520|08/04/2008|31699||19||||
TX06120|09/19/2014|31648||4||||
L070926|12/17/2002|31699||34||||
L079947|04/06/2005|31699||14||||
L087758|10/01/2007|31699||23||||
L092130|10/06/2008|31699||18||||
TX04320|03/13/2014|31648||13||||
TX04156|09/16/2013|31648||51||||
L115460|08/10/2015|31699||61||||
L103538|08/04/2011|31699||76||||
L105256|02/02/2012|31699||160||||
L095670|08/03/2009|31699||42||||
L097570|02/02/2010|31699||63||||
L070696|08/01/2002|31699||27||||
L073565|04/22/2003|31699||26||||
L089540|02/04/2008|31699||19||||
