RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
R204307|1415|17425|N LLANO R UPSTRM LLANO R|00300|OXYGEN, DISSOLVED (MG/L)||9.8|04/02/2002|14:13|0.2||||||WC|FO|RT|WATER CLOUDY, GRAVEL MINING OPERATION UPSTREAM 1/4 MILE, FLOW SPLIT INTO TWO CHANNELS, WATER FOWL OBSERVED
R204520|1415|17425|N LLANO R UPSTRM LLANO R|00010|TEMPERATURE, WATER (DEGREES CENTIGRADE)||20.5|06/05/2002|13:15|0.18||||||WC|FO|RT|AIR TEMP. APPROX. 90 DEGREES F, CLOUDY, SLIGHT W BREEZE,  ABUNDANT ALGAE, DEER OBSERVED NEAR SAMPLE SITE, FROGS AND MINNOWS SWIMMING IN WATER
R208928|1415|17425|N LLANO R UPSTRM LLANO R|00300|OXYGEN, DISSOLVED (MG/L)||8.9|12/09/2002|13:40|0.31||||||WC|FO|RT|AQUATIC VEGETATION HEALTHY, INSECTS ON THE WATER SURFACE, AIR TEMP APPROX. 50 DEGREES F, WIND LIGHT AND VARIABLE APPROX. 3 MPH, OVERCAST SKY, 1 DEER OBSERVED DOWNSTREAM
R210170|1415|17425|N LLANO R UPSTRM LLANO R|00010|TEMPERATURE, WATER (DEGREES CENTIGRADE)||17.5|03/06/2003|14:30|0.2||||||WC|FO|RT|CLEAR SKY, WATER SLIGHTLY CLOUDY (MILKY), NW WIND 3-6 MPH, AIR TEMP 82 DEGREES F
R216434|1415|17425|N LLANO R UPSTRM LLANO R|00078|TRANSPARENCY, SECCHI DISC (METERS)||0.46|09/04/2003|13:40|0.3||||||WC|FO|RT|AIR TEMP 84 DEGREES F; N WIND SLIGHT BREEZE; WATER CLEAR; AQUATIC AND BANK VEGETATION HEALTHY; OBSERVED HEALTHY SUNFISH, GAMBUSIA, AND SUCKER FISH
R216459|1415|17425|N LLANO R UPSTRM LLANO R|00078|TRANSPARENCY, SECCHI DISC (METERS)||0.64|12/15/2003|11:20|0.3||||||WC|FO|RT|AIR TEMP. 65 DEGREES F, SW WIND @ 5 MPH, WATER CLOUDY WITH GREENISH TINT, EVIDENCE OF SCOURING, AQUATIC VEGETATION DORMANT, BANK VEGETATION HEALTHY, 3 DEER UPSTREAM APPROX. 100 YARDS FROM SAMPLE SITE, OBSERVED HEALTHY GAMBUSIA AND SUCKER FISH
R216529|1415|17425|N LLANO R UPSTRM LLANO R|00010|TEMPERATURE, WATER (DEGREES CENTIGRADE)||17.3|03/04/2004|12:55|0.59||||||WC|FO|RT|STORM (DURATION 45 MINUTES) ENDED 15 MINUTES PRIOR TO FIELD MEASUREMENTS, AIR TEMP 60 DEGREES F, W WIND @ 5-10 MPH, SKY PARTLY CLOUDY AND SUNNY, WATER TURBID WITH MILKY APPEARANCE, AQUATIC AND BANK VEGETATION HEALTHY, OBSERVED HEALTHY GAMBUSIA
R219136|1415|17425|N LLANO R UPSTRM LLANO R|00094|SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)||558|06/14/2004|14:20|0.27||||||WC|FO|RT|AIR TEMP 90-95 DEGREES F, PARTY CLOUDY, S WIND 3-5 MPH, WATER COLOR CLEAR WITH GREENISH TINT, 4 DOMESTIC DUCKS AT SAMPLE SITE, OBSERVED HEALTHY BASS, SUCKERS, CICHLID, DARTERS, FROGS AND CRAWFISH, BANK AND AQUATIC VEGETATION HEALTHY
R219505|1415|17425|N LLANO R UPSTRM LLANO R|00400|PH (STANDARD UNITS)||7.8|09/09/2004|13:25|0.3||||||WC|FO|RT|AIR TEMP 85 DEGREES F; PARTLY CLOUDY AND SUNNY; SLIGHT NW BREEZE, WATER COLOR CLEAR WITH GREENISH TINT; SLIGHT CHALKY TURBIDITY; OBSERVED HEALTHY BASS, SUNFISH,GAMBUSIA, SUCKERS, MINNOWS AND FROGS, HEALTHY BANK AND AQUATIC VEGETATION, FILAMENTOUS ALGAE ABUNDANT, SIGNIFICANT SCOURING OF STREAM BED AND COLLAPSE OF HIGHBANK FROM RAIN EVENT THAT OCCURRED AFTER LAST SAMPLING EVENT.
R219505|1415|17425|N LLANO R UPSTRM LLANO R|00094|SPECIFIC CONDUCTANCE,FIELD (US/CM @ 25C)||511|09/09/2004|13:25|0.3||||||WC|FO|RT|AIR TEMP 85 DEGREES F; PARTLY CLOUDY AND SUNNY; SLIGHT NW BREEZE, WATER COLOR CLEAR WITH GREENISH TINT; SLIGHT CHALKY TURBIDITY; OBSERVED HEALTHY BASS, SUNFISH,GAMBUSIA, SUCKERS, MINNOWS AND FROGS, HEALTHY BANK AND AQUATIC VEGETATION, FILAMENTOUS ALGAE ABUNDANT, SIGNIFICANT SCOURING OF STREAM BED AND COLLAPSE OF HIGHBANK FROM RAIN EVENT THAT OCCURRED AFTER LAST SAMPLING EVENT.
