RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
0039155|1415|17425|N LLANO R UPSTRM LLANO R|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.14|04/02/2002|14:13|0.3||||||WC|FO|RT|
0039155|1415|17425|N LLANO R UPSTRM LLANO R|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.05|04/02/2002|14:13|0.3||||||WC|FO|RT|
0042218|1415|17425|N LLANO R UPSTRM LLANO R|70507|ORTHOPHOSPHATE PHOSPHORUS,DISS,MG/L,FILTER >15MIN|<|0.06|03/06/2003|14:30|0.3||||||WC|FO|RT|LIM 32211     1 TRDE %RPD for batch's duplicate chlorophyll analysis  was greateLIM 32211     2 TRDE  than the  laboratory's established Control Limit.LIM 00680     1 TRDE  Reported TOC result is actually Nonpurgeable Organic Carbo
0042218|1415|17425|N LLANO R UPSTRM LLANO R|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.12|03/06/2003|14:30|0.3||||||WC|FO|RT|LIM 32211     1 TRDE %RPD for batch's duplicate chlorophyll analysis  was greateLIM 32211     2 TRDE  than the  laboratory's established Control Limit.LIM 00680     1 TRDE  Reported TOC result is actually Nonpurgeable Organic Carbo
0042218|1415|17425|N LLANO R UPSTRM LLANO R|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.07|03/06/2003|14:30|0.3||||||WC|FO|RT|LIM 32211     1 TRDE %RPD for batch's duplicate chlorophyll analysis  was greateLIM 32211     2 TRDE  than the  laboratory's established Control Limit.LIM 00680     1 TRDE  Reported TOC result is actually Nonpurgeable Organic Carbo
0042218|1415|17425|N LLANO R UPSTRM LLANO R|32211|CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH|<|10|03/06/2003|14:30|0.3||||||WC|FO|RT|LIM 32211     1 TRDE %RPD for batch's duplicate chlorophyll analysis  was greateLIM 32211     2 TRDE  than the  laboratory's established Control Limit.LIM 00680     1 TRDE  Reported TOC result is actually Nonpurgeable Organic Carbo
0042238|1415|17425|N LLANO R UPSTRM LLANO R|32211|CHLOROPHYLL-A UG/L SPECTROPHOTOMETRIC ACID. METH|<|10|06/09/2003|14:20|0.3||||||WC|FO|RT|LIM 00680     1 TRDE  Reported TOC result is actually Nonpurgeable Organic Carbo
0042265|1415|17425|N LLANO R UPSTRM LLANO R|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.12|09/04/2003|13:40|0.3||||||WC|FO|RT|LIM 32211     1 TRDE %RPD for batch's duplicate chlorophyll analysis was greaterLIM 32211     2 TRDE than the laboratory's established Control Limit.LIM 70507     1 TRDE The AWRL for ortho-phos yielded 155% recovery, probably dueLIM 70507     2 TRDE to a slight dip in the baseline before the ortho-phos peak.LIM 00680     1 TRDE  Reported TOC result is actually Nonpurgeable Organic Carbo
0042265|1415|17425|N LLANO R UPSTRM LLANO R|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.05|09/04/2003|13:40|0.3||||||WC|FO|RT|LIM 32211     1 TRDE %RPD for batch's duplicate chlorophyll analysis was greaterLIM 32211     2 TRDE than the laboratory's established Control Limit.LIM 70507     1 TRDE The AWRL for ortho-phos yielded 155% recovery, probably dueLIM 70507     2 TRDE to a slight dip in the baseline before the ortho-phos peak.LIM 00680     1 TRDE  Reported TOC result is actually Nonpurgeable Organic Carbo
0042307|1415|17425|N LLANO R UPSTRM LLANO R|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.05|03/04/2004|11:50|0.3||||||WC|FO|RT|Param 00530 remarked per DCR 030805 MDMA
